OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,Shape__Area,Shape__Length
1,4c07d11d-f71d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18105,047014,Aultagh,047014001,047014001,A047014001,0,0,1,24611558.6229858,22550.9174088346
2,4c07d11d-f71e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18107,047034,Ballymoney,047034002,047034002,A047034002,0,0,2,11956232.2759094,21636.9470576276
3,4c07d11d-f71f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18018,047056,Boulteen,047056001,047056001,A047056001,0,0,3,9427848.72454834,16620.7573369399
4,4c07d11d-f720-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18030,047300,Teadies,047300001,047300001,A047300001,0,0,4,11369687.0024719,20382.243504115
5,4c07d11d-f564-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27157,067162,Letterfore,067162001,067162001,A067162001,0,0,5,81329822.3322449,65954.5396320049
6,4c07d11d-f565-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27026,067078,Cushkillary,067078001/067078002,067078001/067078002,A067078001/067078002,0,0,6,63844971.9468079,61781.9242241361
7,4c07d11d-f566-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29150/29130,157129/157041,Owennadornaun / Bundorragha,157041002/157041004/157041003/157041001/157129002/157129001,157041002/157041004/157041003/157041001/157129002/157129001,A157041002/157041004/157041003/157041001/157129002/157129001,0,0,7,70981069.7507324,48812.4247474742
8,4c07d11d-f567-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27151,067069,Conga,067069001,067069001,A067069001,0,0,8,24452954.5300598,36508.1365464008
9,4c07d11d-f568-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29047,157128,Abhainn Bhrain,157128002,157128002,A157128002,0,0,9,40674090.9848328,38455.6988813022
10,4c07d11d-f569-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29139,157077,Erriff,157077001/157077002,157077001/157077002,A157077001/157077002,0,0,10,82998743.4987793,52647.5542494373
11,4c07d11d-f56a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29131,157050,Clare Island,157050001,157050001,A157050001,0,0,11,22802636.8284607,40562.1311845872
12,4c07d11d-f56b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29126,157004,Aghagower South,157004001,157004001,A157004001,0,0,12,22881515.7053223,26978.6011590781
13,4c07d11d-f56c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29133,157060,An Corrán,157060003,157060003,A157060003,0,0,13,32780888.2431641,35886.0095944338
14,4c07d11d-f56d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29143,157100,Kilmaclasser,157100002,157100002,A157100002,0,0,14,15249351.2102051,21790.6786395347
15,4c07d11d-f56e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29140,157083,Glenhest,157083001,157083001,A157083001,0,0,15,45705594.741272,32734.3267113314
16,4c07d11d-f56f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27151,067069,Conga,067069002,067069002,A067069002,0,0,16,55524811.3581543,54123.577391418
17,4c07d11d-f570-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29035,157029,Baile Óbha,157029001,157029001,A157029001,0,0,17,33123723.2808533,37215.0997867311
18,4c07d11d-f571-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29052,157007,An Geata Mór Theas,157007001/157007005,157007001/157007005,A157007001/157007005,0,0,18,12920886.7501221,59711.2929012626
19,4c07d11d-f572-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29129,157024,Ballycroy South,157024001/157024004,157024001/157024004,A157024001/157024004,0,0,19,100996716.688568,90051.8193150209
20,4c07d11d-f573-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29014,157040,Bunaveela,157040001,157040001,A157040001,0,0,20,54659368.4151001,36720.338504382
21,4c07d11d-f574-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29028,157114,Letterbrick,157114001,157114001,A157114001,0,0,21,34892519.4847107,35012.9541294788
22,4c07d11d-f575-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29019,157071,Derry,157071001,157071001,A157071001,0,0,22,65509555.024231,53885.1905958054
23,4c07d11d-f576-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29056,157080,Gleann na Muaidhe,157080001,157080001,A157080001,0,0,23,57957762.4156494,42237.6990232206
24,4c07d11d-f577-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29054,157032,Barr Rúscaí,157032001,157032001,A157032001,0,0,24,48297628.4246521,36179.2435045677
25,4c07d11d-f578-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29013,157034,Béal Deirg Mór,157034001/157034002,157034001/157034002,A157034001/157034002,0,0,25,79845054.1889343,52888.9701745631
26,4c07d11d-f465-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29058/29065,157082/157136,Glenco / Sheskin,157082001/157136001,157082001/157136001,A157082001/157136001,0,0,26,163247880.032715,68098.2893949032
27,4c07d11d-f466-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19023,077154,Toghroinn Fhíonáin,077154001/077154002,077154001/077154002,A077154001/077154002,0,0,27,14931092.9094238,31747.0564624261
28,4c07d11d-f467-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19005,077011,Baile an Sceilg,077011001,077011001,A077011001,0,0,28,19664343.4989624,36831.8013446511
29,4c07d11d-f468-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19034,077073,Dún Chaoin,077073001/077073002,077073001/077073002,A077073001/077073002,0,0,29,14184541.1564178,53910.5982204928
30,4c07d11d-f469-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18051,047188,Kilcatherine,047188005,047188005,A047188005,0,0,30,26552773.2254334,36487.9606061896
31,4c07d11d-f46a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18287,047004,Aghadown South,047004002/047004006,047004002/047004006,A047004002/047004006,0,0,31,9059961.35656738,40209.6905562153
32,4c07d11d-f46b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18047,047002,Adrigole,047002001/047002006,047002001/047002006,A047002001/047002006,0,0,32,39384273.5017853,41173.2827701759
33,4c07d11d-f46c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18033/18046,047041/047319,Bantry Rural / Whiddy,047041005/047041001/047041004/047041002/047041003/047319001,047041005/047041001/047041004/047041002/047041003/047319001,A047041005/047041001/047041004/047041002/047041003/047319001,0,0,33,36559002.295929,60121.0674797976
34,4c07d11d-f46d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18042,047251,Mealagh,047251001,047251001,A047251001,0,0,34,16821747.6704712,23933.3307166073
35,4c07d11d-f46e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18040,047181,Kealkill,047181001,047181001,A047181001,0,0,35,22961050.0660095,28371.0413771645
36,4c07d11d-f46f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18021,047177,Inishannon,047177001,047177001,A047177001,0,0,36,7253481.96224976,22802.1564076012
37,4c07d11d-f470-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19049,077042,Castlecove,077042002/077042003/077042004,077042002/077042003/077042004,A077042002/077042003/077042004,0,0,37,17999777.4026489,36165.9241330242
38,4c07d11d-f471-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19049,077042,Castlecove,077042001,077042001,A077042001,0,0,38,47524217.1051025,36775.9165398621
39,4c07d11d-f472-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19061,077156,Tahilla,077156001/077156002/077156003,077156001/077156002/077156003,A077156001/077156002/077156003,0,0,39,41936481.4094086,58173.687355108
40,4c07d11d-f473-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19004,077009,Na Beathacha,077009001,077009001,A077009001,0,0,40,39321910.3033447,36450.55314929
41,4c07d11d-f474-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19009/19020,077037/077133,Ceannúigh / Máistir Gaoithe,077037001/077133001,077037001/077133001,A077037001/077133001,0,0,41,63485495.8285217,45146.1931974319
42,4c07d11d-f475-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19014/19011,077064/077050,Doire Ianna / Cloon,077064001,077064001,A077064001,0,0,42,95960448.6864471,56680.9581865454
43,4c07d11d-f476-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19060,077153,Sneem,077153005,077153005,A077153005,0,0,43,57942829.0906525,46020.3229211755
44,4c07d11d-f477-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19047,077026,Banawn,077026001,077026001,A077026001,0,0,44,66766543.4919586,45318.2584864876
45,4c07d11d-f478-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19058,077130,Loughbrin,077130001,077130001,A077130001,0,0,45,62632504.5879364,55933.6533250768
46,4c07d11d-f479-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19055,077084,Greenane,077084001,077084001,A077084001,0,0,46,28850826.0763245,34848.8200247176
47,4c07d11d-f47a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19059,077149,Reen,077149001/077149002,077149001/077149002,A077149001/077149002,0,0,47,21165880.6847839,35121.5141574986
48,4c07d11d-f47b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19048,077038,Cappagh,077038001,077038001,A077038001,0,0,48,30918863.0977173,43063.6013714875
49,4c07d11d-f47c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19057,077097,Kilgarvan,077097001,077097001,A077097001,0,0,49,40164994.9406738,42749.3746328686
50,4c07d11d-f47d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19090,077141,Muckross,077141001,077141001,A077141001,0,0,50,103147232.0495,58447.5622149912
51,4c07d11d-f47e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19076,077077,Flesk,077077001,077077001,A077077001,0,0,51,39221958.0412292,49046.2573911362
52,4c07d11d-f4bd-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19076,077077,Flesk,077077002,077077002,A077077002,0,0,52,19257087.2355957,37189.6570666114
53,4c07d11d-f4be-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19027,077016,An Baile Dubh,077016001,077016001,A077016001,0,0,53,32967854.3247681,27488.6650550094
54,4c07d11d-f4bf-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19032,077062,Deelis,077062001,077062001,A077062001,0,0,54,26685313.197052,29139.5920130618
55,4c07d11d-f4c0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19150,077095,Kilflyn,077095001,077095001,A077095001,0,0,55,18945438.1042175,28741.7296945268
56,4c07d11d-f4c1-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19145,077056,Crinny,077056001,077056001,A077056001,0,0,56,16655270.2996826,26118.4618192384
57,4c07d11d-f4c2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19154,077110,Kilmurry,077110001,077110001,A077110001,0,0,57,24737868.7264404,28816.0473085822
58,4c07d11d-f4c3-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18206,047167,Gort na Tiobratan,047167001,047167001,A047167001,0,0,58,22795639.0906372,30684.242658176
59,4c07d11d-f4c4-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19068,077052,Clydagh,077052001,077052001,A077052001,0,0,59,60404539.3905945,43116.7526332913
60,4c07d11d-f4c5-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18217,047272,Rahalisk,047272001,047272001,A047272001,0,0,60,32295777.1914673,29544.4318228552
61,4c07d11d-f4c6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18210,047182,Kilberrihert,047182002,047182002,A047182002,0,0,61,16518416.0840149,33989.3402279828
62,4c07d11d-f4c7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18210,047182,Kilberrihert,047182001,047182001,A047182001,0,0,62,27984783.6359253,41574.1322534573
63,4c07d11d-f4c8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18211,047193,Kilcullen,047193002,047193002,A047193002,0,0,63,13419801.0979309,29215.3539145898
64,4c07d11d-f4c9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18265,047062,Caherbarnagh,047062002,047062002,A047062002,0,0,64,24464799.9653625,30412.5565512778
65,4c07d11d-f4ca-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19144,077055,Cordal,077055001,077055001,A077055001,0,0,65,23928895.2171021,26954.1131579822
66,4c07d11d-f4cb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18164,047209,Kilmeen,047209001,047209001,A047209001,0,0,66,20812873.015686,28059.0322503648
67,4c07d11d-f4d6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27155,067121,Cill Chuimín,067121001,067121001,A067121001,0,0,67,59971034.2563171,44929.905484533
68,4c07d11d-f4d7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16022,037104,Kiltoraght,037104001,037104001,A037104001,0,0,68,19198809.8840027,35360.8346419211
69,4c07d11d-f4d8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16061,037116,Lurraga,037116001,037116001,A037116001,0,0,69,15053633.7974243,29666.7523476925
70,4c07d11d-f4d9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16020/16017,037067/037008,Glenroe / Ballyeighter,037008001/037067001,037008001/037067001,A037008001/037067001,0,0,70,38005896.1870117,38598.6554298232
71,4c07d11d-f4da-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16018,037015,Boston,037015001,037015001,A037015001,0,0,71,48167046.2066956,33974.6673404573
72,4c07d11d-f514-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16150,037127,Newgrove,037127001,037127001,A037127001,0,0,72,22404216.3198242,28436.6519193118
73,4c07d11d-f515-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16124,037020,Cappaghabaun,037020001,037020001,A037020001,0,0,73,33188849.0497437,33633.3245716722
74,4c07d11d-f516-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27129/27126,067171/067168,Marblehill / Loughatorick,067168001/067171002/067171001,067168001/067171002/067171001,A067168001/067171002/067171001,0,0,74,74107453.37146,47543.7259710878
75,4c07d11d-f517-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27055,067125,Cill Aithnín,067125001,067125001,A067125001,0,0,75,58421299.1251526,42789.1860195801
76,4c07d11d-f518-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27159,067185,Oughterard,067185001,067185001,A067185001,0,0,76,60784706.5601807,48936.9786848647
77,4c07d11d-f519-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27048,067055,Baile Chláir,067055005,067055005,A067055005,0,0,77,11912143.3049011,28203.9083868157
78,4c07d11d-f51a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18121,047005,Aghern,047005001,047005001,A047005001,0,0,78,15638809.5307617,26671.321333739
79,4c07d11d-f51b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,25057,227014,Ballysaggartmore,227014001,227014001,A227014001,0,0,79,34615832.9803772,33387.5843518243
80,4c07d11d-f51c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23120,217037,Burncourt,217037001,217037001,A217037001,0,0,80,20279058.5302429,33539.7256823995
81,4c07d11d-f51d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,25055,227008,Ballyin,227008001,227008001,A227008001,0,0,81,46104489.0144653,50696.3760182254
82,4c07d11d-f51e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22043,217109,Kilnarath,217109001,217109001,A217109001,0,0,82,32635723.1541443,31148.3453711398
83,4c07d11d-f51f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22037/22045,217086/217117,Greenhall / Lackagh,217086001/217117001,217086001/217117001,A217086001/217117001,0,0,83,36146751.0957031,40936.6214725695
84,4c07d11d-f520-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22046,217118,Latteragh,217118001,217118001,A217118001,0,0,84,25738366.8878784,29561.8792893491
85,4c07d11d-f521-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22068,217087,Holycross,217087001,217087001,A217087001,0,0,85,12407913.1357422,25804.1846274444
86,4c07d11d-f522-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22017,217124,Lorrha West,217124001,217124001,A217124001,0,0,86,19977957.5838318,29454.2329146421
87,4c07d11d-f523-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12008,187021,Clonmacnoise,187021001,187021001,A187021001,0,0,87,30290046.8806763,29881.367997875
88,4c07d11d-f524-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,LS,Laois,08074,107086,Rosenallis,107086001,107086001,A107086001,0,0,88,19318960.8412781,28445.3984526612
89,4c07d11d-f525-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15073,257023,Coolballintaggart,257023002,257023002,A257023002,0,0,89,39743363.1060486,46536.9374927894
90,4c07d11d-f526-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15042,257007,Ballinacor,257007001,257007001,A257007001,0,0,90,52005531.6902161,34659.6567771995
91,4c07d11d-f527-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15058,257053,Knockrath,257053001,257053001,A257053001,0,0,91,70966409.8175964,50123.3878681645
92,4c07d11d-f528-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15020,257044,Imael South,257044001,257044001,A257044001,0,0,92,22489269.6556702,30844.131594199
93,4c07d11d-f529-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15022,257054,Lackan,257054001,257054001,A257054001,0,0,93,47662647.1681213,50320.0463693204
94,4c07d11d-f52a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15010,257016,Blessington,257016003,257016003,A257016003,0,0,94,50851581.9944763,41410.9395261101
95,4c07d11d-f52b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15046,257018,Brockagh,257018001,257018001,A257018001,0,0,95,22355624.1080627,32902.7107176606
96,4c07d11d-f52c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15053,257037,Glendalough,257037001,257037001,A257037001,0,0,96,61677110.8506165,39742.6344000482
97,4c07d11d-f52d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15021,257046,Kilbride,257046001,257046001,A257046001,0,0,97,41797418.307312,42257.6997969886
98,4c07d11d-f52e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15036,257062,Powerscourt,257062001,257062001,A257062001,0,0,98,44209843.7114563,42961.5222971199
99,4c07d11d-f52f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27027/27028,067081/067084,Derrycunlagh / Derrylea,067081001/067084001/067084002,067081001/067084001/067084002,A067081001/067084001/067084002,0,0,99,77928277.2644653,53265.4076487327
100,4c07d11d-f530-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27038,067199,Sillerna,067109001/067109002,067199002/067199004,A067109001/067109002,0,0,100,7880859.83074951,31483.4189890246
101,4c07d11d-f561-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27032,067109,Inishbofin,067109001/067109002,067109001/067109002,A067109001/067109002,0,0,101,13008197.3477173,50687.9412772116
102,4c07d11d-f562-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27034,067182,Maíros,067182002,067182002,A067182002,0,0,102,51233989.320343,48477.6196917122
103,4c07d11d-f563-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27022,067037,Binn an Choire,067037001,067037001,A067037001,0,0,103,107015530.453613,55993.3557413352
104,4c07d11d-f6d6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18116,047155,Garrown,047155001,047155001,A047155001,0,0,104,39280975.5335083,38934.3731188957
105,4c07d11d-f6d7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18119,047255,Milane,047255001,047255001,A047255001,0,0,105,20919149.8063049,32171.1314218417
106,4c07d11d-f716-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18115,047146,Dunmanway South,047146001,047146001,A047146001,0,0,106,11338292.4021606,22418.7934222204
107,4c07d11d-f717-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18112,047113,Coolmountain,047113001,047113001,A047113001,0,0,107,18175225.2111511,23095.1101241257
108,4c07d11d-f718-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18072,047283,Rossmore,047283001,047283001,A047283001,0,0,108,13509158.3748779,21756.9886977284
109,4c07d11d-f719-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18060,047095,Clonakilty Rural,047095001,047095001,A047095001,0,0,109,8746521.73086548,16930.291864525
110,4c07d11d-f71a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18067,047211,Kilmoylerane,047211001,047211001,A047211001,0,0,110,13845526.5785522,20597.4810997643
111,4c07d11d-f71b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18118,047247,Manch,047247002,047247002,A047247002,0,0,111,9505650.81954956,18942.5201452143
112,4c07d11d-f71c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18118,047247,Manch,047247001,047247001,A047247001,0,0,112,15176038.1197205,27442.7591313467
113,4c07d11d-f6c8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18039,047160,Glengarriff,047160003,047160003,A047160003,0,0,113,14107663.0007324,28159.7202033273
114,4c07d11d-f6c9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18304,047265,Myross,047265002,047265002,A047265002,0,0,114,5716091.12353516,15827.3366030884
115,4c07d11d-f6ca-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18292,047082,Castlehaven North,047082006,047082006,A047082006,0,0,115,11834361.2126465,27055.4727725973
116,4c07d11d-f6cb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18308,047321,Woodfort,047321001,047321001,A047321001,0,0,116,12254836.6213684,24569.9438351806
117,4c07d11d-f6cc-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18303,047232,Knockskagh,047232002,047232002,A047232002,0,0,117,9591565.59606934,19976.50974875
118,4c07d11d-f6cd-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18291,047073,Carrigbaun,047073001,047073001,A047073001,0,0,118,9418887.66122437,18186.1173698868
