OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,Shape__Area,Shape__Length
8776,4c07d11e-23c4-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,CN,Cavan,32001,027025,Cavan Urban,027025015,027025015,A027025015,0,0,8776,329811.758392334,2414.45505313066
8777,4c07d11e-15f6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,LD,Longford,09001,137043,Longford No. 1 Urban,137043010,137043010,A137043010,0,0,8777,92280.6548156738,1419.51380342788
8778,4c07d11e-158e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11067,167070,Oldcastle,167070006,167070006,A167070006,0,0,8778,471384.923736572,3066.02990540996
8779,4c07d11e-15f9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11026,167039,Ceannanus Mór (Kells) Rural,167039009,167039009,A167039009,0,0,8779,258399.390106201,2134.27034240243
8780,4c07d11e-15bc-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,LD,Longford,09048,137027,Drumlish,137027005,137027005,A137027005,0,0,8780,596050.644104004,3654.75233547519
8781,4c07d11e-15c8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,LD,Longford,09048,137027,Drumlish,137027004,137027004,A137027004,0,0,8781,211771.05090332,2014.64615169095
8782,4c07d11e-15c9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,LM,Leitrim,28074,117066,Mohill,117066007,117066007,A117066007,0,0,8782,210342.561950684,2340.0922694525
8783,4c07d11e-15e8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13091,237080,Mullingar South Urban,237080004,237080004,A237080004,0,0,8783,179917.804077148,2215.17992675467
8784,4c07d11e-15e9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13091,237080,Mullingar South Urban,237080005,237080005,A237080005,0,0,8784,118963.697570801,1862.55965397094
8785,4c07d11e-15ea-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13089,237079,Mullingar Rural,237079012,237079012,A237079012,0,0,8785,281578.529663086,2122.06224466215
8786,4c07d11e-15eb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13091,237080,Mullingar South Urban,237080012,237080012,A237080012,0,0,8786,851543.480743408,4008.78004980107
